제공기관코드,시설명,분류,어른관람료,위도,경도,운영기관전화번호
4980000,필암서원 유물전시관,,500,35.309853,126.751153,061-390-7224
4190000,원주역사박물관,,0,37.343743,127.962031,033-737-4371
4190000,뮤지엄산미술관,,15000,37.4188689,127.823167,033-730-9000
4190000,오랜미래신화미술관,,0,37.3415286,127.7868199,033-746-5256
4190000,연세대학교 원주박물관,,0,37.2813415,127.899493,033-760-2731
4190000,뮤지엄산박물관,,15000,37.2813415,127.8237167,033-730-9000
4190000,뮤지엄산(청조갤러리),,15000,37.4154428,127.8237167,033-730-9000
4190000,치악산 고판화박물관,,5000,37.2571309,128.1287135,033-761-7885
4700000,남원향토박물관,,0,35.401845,127.386952,063-620-5797
5190000,청도박물관,,0,35.694373,128.686471,054-370-2282
5480000,합천박물관,,0,35.5800105,128.2820898,055-930-4882
5480000,합천한의학박물관,,2000,35.537551,128.101642,055-934-0601
5480000,해인사성보박물관,,2000,35.796694,128.076062,055-934-3150
5230000,신풍미술관,,2000,36.53994783,128.4367743,054-653-9329
5230000,예천박물관,,0,36.69977483,128.514395,054-650-8311
5230000,신풍미술관,,2000,36.53994783,128.4367743,054-653-9329
5230000,예천박물관,,0,36.69977483,128.514395,054-650-8311
3490000,인천개항박물관,,500,37.4732355,126.6182431,032-760-7508
3490000,짜장면박물관,,500,37.4748195,126.6160083,032-773-9812
3490000,영종역사관,,1000,37.489195,126.576549,032-760-6300
3490000,중구생활사전시관,,1000,37.472437,126.6222392,032-766-2202
3490000,인천개항장 근대건축전시관,,500,37.4728595,126.6211542,032-760-7549
3490000,한중문화관,,1000,37.4735399,126.6187688,032-760-7860
3780000,성남아트센터 큐브미술관,,0,37.402839,127.130404,031-783-8000
3780000,현대어린이책미술관 MOKA,,0,37.392562,127.111996,031-5170-3700
3780000,미누현대미술관,,8000,37.44616,127.149446,031-754-9696
3780000,신구대학교식물원 갤러리 우촌,,7000,37.433957,127.081509,031-724-1625
3780000,판교박물관,,0,37.400791,127.095656,031-729-4535
3780000,신구대학 우촌박물관,,0,37.448846,127.167645,031-740-1258
6520000,기당미술관,,1000,33.2446568,126.5517975,064-733-1586
6520000,신영영화박물관 무비스타,,9000,33.2746312,126.7058491,064-805-0008
6520000,초콜릿 박물관,,6000,33.2576761,126.2287876,064-792-3121
6520000,제주추사관,,0,33.249837,126.2786308,064-710-6803
6520000,조안베어뮤지엄,,5000,33.2402854,126.4342037,064-739-1024
6520000,소암기념관,,0,33.245175,126.567688,064-760-3511
6520000,유인미술관,,12000,33.4291727,126.9300971,064-731-7791
6520000,김영갑갤러리 (두모악),,4500,33.3720645,126.8541795,064-784-9905
6520000,제주커피박물관 바움,,0,33.4398006,126.8991174,064-784-2255
6520000,세계오지민속박물관 (베니스랜드),,12000,33.414387,126.8406543,064-784-6565
6520000,제주해양과학관 (아쿠아플라넷),,40900,33.4345727,126.9263432,064-780-0900
6520000,제주항공우주박물관,,10000,33.304846,126.29972,064-800-2009
6520000,본태박물관,,20000,33.3037917,126.3923999,064-792-8108
6520000,설록차전시관,,0,33.3063942,126.2905203,064-794-5312
6520000,제주건강과 성 박물관,,12000,33.2546582,126.3467011,064-792-5700
6520000,포레스트판타지아,,15000,33.256807,126.321633,064-794-9680
6520000,세계자동차 제주박물관,,11000,33.2831948,126.349772,064-792-3000
6520000,헬로키티아일랜드,,14000,33.2902193,126.3498521,064-792-6114
6520000,SOS박물관,,12000,33.2472388,126.5092079,064-738-1448
6520000,닥종이인형박물관,,5000,33.2472388,126.5092079,064-739-3906
6520000,아프리카 박물관,,10000,33.2398402,126.4291443,064-738-6565
6520000,이중섭미술관,,1500,33.2459155,126.5649489,064-760-3567
6520000,박물관은살아있다,,12000,33.2549224,126.4087187,064-805-0888
6520000,곰완구전시관 (테디베어뮤지엄),,10000,33.2486522,126.4124374,064-738-7600
6520000,제주유리박물관,,9000,33.278578,126.3702742,064-792-6262
6520000,왈종미술관,,5000,33.2452223,126.5738961,064-763-3600
6520000,세계조가비박물관,,6000,33.2474572,126.551644,064-762-5551
6520000,자연사랑 미술관,,0,33.3554682,126.7714844,064-787-3110
6520000,제주민속촌,,11000,33.3223451,126.8414874,064-787-4501
6520000,세계술박물관,,5000,33.353959,126.817669,064-787-9500
6520000,감귤박물관,,1500,33.2715236,126.6076604,064-760-6398
3080000,박을복자수박물관,,6000,37.653998,127.008541,02-990-7000
4950000,무안군오승우미술관,,0,34.852575,126.415342,061-450-5482
4070000,이천시립월전미술관,,2000,37.279731,127.424379,031-637-0033
4070000,이천시립박물관,,0,37.275088,127.427271,031-635-8500
3310000,유엔평화기념관,,0,35.125133,129.093215,051-901-1400
3310000,경성대학교박물관,,0,35.138757,129.098196,051-663-5381
3310000,부경대학교박물관,,0,35.133925,129.103718,051-629-6771
3310000,부산시립박물관,,0,35.129802,129.092946,051-610-7150
3310000,경성대학교미술관,,0,35.139741,129.098121,051-663-5361
4040000,하남역사박물관,,0,37.544479,127.207212,031-790-7915
4570000,정림사지박물관,,1500,36.278819,126.915851,041-832-2721
3230000,예송미술관,,0,37.502096,127.093223,02-2147-2810
3230000,한국광고박물관,,0,37.515804,127.099629,02-2144-0116
3230000,소마미술관,,3000,37.516853,127.118219,02-425-1077
3230000,서울올림픽기념관,,0,37.520285,127.115438,02-410-1354
