시설명,박물관미술관구분,운영기관전화번호,소재지도로명주소
필암서원 유물전시관,공립,061-390-7224,전라남도 장성군 황룡면 필암서원로 187
원주역사박물관,공립,033-737-4371,강원도 원주시 봉산로 134
뮤지엄산미술관,사립,033-730-9000,강원도 원주시 지정면 오크밸리2길 260
오랜미래신화미술관,사립,033-746-5256,강원도 원주시 문막읍 취병로 711
연세대학교 원주박물관,대학,033-760-2731,강원도 원주시 흥업면 연세대길 1
뮤지엄산박물관,사립,033-730-9000,강원도 원주시 지정면 오크밸리2길 260
뮤지엄산(청조갤러리),사립,033-730-9000,강원도 원주시 지정면 오크밸리 2길 260
치악산 고판화박물관,사립,033-761-7885,강원도 원주시 신림면 물안길 62
남원향토박물관,국립,063-620-5797,전라북도 남원시 양림길 14-9
청도박물관,공립,054-370-2282,경상북도 청도군 이서면 이서로 567
합천박물관,국립,055-930-4882,경상남도 합천군 쌍책면 황강옥전로 1558
합천한의학박물관,사립,055-934-0601,경상남도 합천군 용주면 고품길 42
해인사성보박물관,사립,055-934-3150,경상남도 합천군 가야면 가야산로 1742-17
신풍미술관,사립,054-653-9329,경상북도 예천군 지보면 신풍1리길 50
예천박물관,공립,054-650-8311,경상북도 예천군 감천면 복골길 150
신풍미술관,사립,054-653-9329,경상북도 예천군 지보면 신풍1리길 50
예천박물관,공립,054-650-8311,경상북도 예천군 감천면 복골길 150
인천개항박물관,공립,032-760-7508,인천광역시 중구 신포로 23번길 89
짜장면박물관,공립,032-773-9812,인천광역시 중구 차이나타운로 56-14
영종역사관,공립,032-760-6300,인천광역시 중구 구읍로 63 (중산동)
중구생활사전시관,공립,032-766-2202,인천광역시 중구 신포로 23번길 101
인천개항장 근대건축전시관,공립,032-760-7549,인천광역시 중구 신포로 23번길 77
한중문화관,공립,032-760-7860,인천광역시 중구 제물량로 238
성남아트센터 큐브미술관,공립,031-783-8000,경기도 성남시 분당구 성남대로 808(야탑동 757)
현대어린이책미술관 MOKA,사립,031-5170-3700,경기도 성남시 분당구 판교역로 146번길 20
미누현대미술관,사립,031-754-9696,경기도 성남시 수정구 공원로 360 두산상가빌딩 3층
신구대학교식물원 갤러리 우촌,사립,031-724-1625,경기도 성남시 수정구 적푸리로 9(상적동)
판교박물관,공립,031-729-4535,경기도 성남시 분당구 판교로 191 판교역사공원
신구대학 우촌박물관,사립,031-740-1258,경기도 성남시 중원구 광명로 377
기당미술관,공립,064-733-1586,제주특별자치도 서귀포시 남성중로 153번길 15
신영영화박물관 무비스타,사립,064-805-0008,제주특별자치도 서귀포시 남원읍 태위로 536
초콜릿 박물관,사립,064-792-3121,제주특별자치도 서귀포시 대정읍 일주서로3000번길 144 대정농공단기 내
제주추사관,공립,064-710-6803,제주특별자치도 서귀포시 대정읍 추사로 44
조안베어뮤지엄,사립,064-739-1024,제주특별자치도 서귀포시 대포로 113
소암기념관,공립,064-760-3511,제주특별자치도 서귀포시 물동산길 22
유인미술관,사립,064-731-7791,제주특별자치도 서귀포시 성산읍 고성리 21
김영갑갤러리 (두모악),사립,064-784-9905,제주특별자치도 서귀포시 성산읍 삼달로 137
제주커피박물관 바움,사립,064-784-2255,제주특별자치도 서귀포시 성산읍 서성일로 1168번길 89-17
세계오지민속박물관 (베니스랜드),사립,064-784-6565,제주특별자치도 서귀포시 성산읍 서성일로 474
제주해양과학관 (아쿠아플라넷),사립,064-780-0900,제주특별자치도 서귀포시 성산읍 섭지코지로 93-15
제주항공우주박물관,사립,064-800-2009,제주특별자치도 서귀포시 안덕면 녹차분재로 218
본태박물관,사립,064-792-8108,제주특별자치도 서귀포시 안덕면 산록남로762번길 69
설록차전시관,사립,064-794-5312,제주특별자치도 서귀포시 안덕면 신화역사로 15
제주건강과 성 박물관,사립,064-792-5700,제주특별자치도 서귀포시 안덕면 일주서로 1611
포레스트판타지아,사립,064-794-9680,제주특별자치도 서귀포시 안덕면 일주서로 1836
세계자동차 제주박물관,사립,064-792-3000,제주특별자치도 서귀포시 안덕면 중산간서로 1610
헬로키티아일랜드,사립,064-792-6114,제주특별자치도 서귀포시 안덕면 한창로 340
SOS박물관,사립,064-738-1448,제주특별자치도 서귀포시 월드컵로 31
닥종이인형박물관,사립,064-739-3906,제주특별자치도 서귀포시 월드컵로 33
아프리카 박물관,사립,064-738-6565,제주특별자치도 서귀포시 이어도로 49
이중섭미술관,공립,064-760-3567,제주특별자치도 서귀포시 이중섭로 27-3
박물관은살아있다,사립,064-805-0888,제주특별자치도 서귀포시 중문관광로 42
곰완구전시관 (테디베어뮤지엄),사립,064-738-7600,제주특별자치도 서귀포시 중문관광로110번길 31 중문관광단지내
제주유리박물관,사립,064-792-6262,제주특별자치도 서귀포시 중산간서로 1403
왈종미술관,사립,064-763-3600,제주특별자치도 서귀포시 칠십리로214번길 30
세계조가비박물관,사립,064-762-5551,제주특별자치도 서귀포시 태평로 284
자연사랑 미술관,사립,064-787-3110,제주특별자치도 서귀포시 표선면 가시로613번길 46
