,weeks,watched,rank,broadcast,name,percent
0,2009.12.28 ~ 2010.01.03,가구시청률,1,KBS2,주말연속극(수상한삼형제),33.4
1,2009.12.28 ~ 2010.01.03,가구시청률,2,KBS1,일일연속극(다함께차차차),33.1
2,2009.12.28 ~ 2010.01.03,가구시청률,3,KBS2,해피선데이,27.1
3,2009.12.28 ~ 2010.01.03,가구시청률,4,MBC,MBC연기대상2부,24.4
4,2009.12.28 ~ 2010.01.03,가구시청률,5,SBS,주말극장(천만번사랑해),24.2
5,2009.12.28 ~ 2010.01.03,가구시청률,6,MBC,MBC방송연예대상2부,24.0
6,2009.12.28 ~ 2010.01.03,가구시청률,7,MBC,MBC방송연예대상1부,22.4
7,2009.12.28 ~ 2010.01.03,가구시청률,8,SBS,SBS연예대상2부,21.1
8,2009.12.28 ~ 2010.01.03,가구시청률,9,MBC,주말기획드라마(보석비빔밥),20.9
9,2009.12.28 ~ 2010.01.03,가구시청률,10,MBC,일일시트콤(지붕뚫고하이킥),19.9
10,2009.12.28 ~ 2010.01.03,가구시청률,11,SBS,특집드라마(아버지의집2부),19.6
11,2009.12.28 ~ 2010.01.03,가구시청률,12,MBC,세바퀴,19.4
12,2009.12.28 ~ 2010.01.03,가구시청률,13,SBS,SBS연예대상1부,19.3
13,2009.12.28 ~ 2010.01.03,가구시청률,14,SBS,놀라운대회스타킹,17.6
14,2009.12.28 ~ 2010.01.03,가구시청률,15,KBS1,KBS9시뉴스,17.6
15,2009.12.28 ~ 2010.01.03,가구시청률,16,KBS2,개그콘서트,17.4
16,2009.12.28 ~ 2010.01.03,가구시청률,17,KBS2,KBS연기대상2부,17.3
17,2009.12.28 ~ 2010.01.03,가구시청률,18,SBS,SBS가요대전,16.6
18,2009.12.28 ~ 2010.01.03,가구시청률,19,SBS,특집드라마(아버지의집1부),16.6
19,2009.12.28 ~ 2010.01.03,가구시청률,20,MBC,무한도전,16.5
20,2010.01.04 ~ 2010.01.10,가구시청률,1,KBS1,일일연속극(다함께차차차),35.1
21,2010.01.04 ~ 2010.01.10,가구시청률,2,KBS2,주말연속극(수상한삼형제),33.5
22,2010.01.04 ~ 2010.01.10,가구시청률,3,KBS2,해피선데이,25.4
23,2010.01.04 ~ 2010.01.10,가구시청률,4,MBC,일일시트콤(지붕뚫고하이킥),23.8
24,2010.01.04 ~ 2010.01.10,가구시청률,5,SBS,주말극장(천만번사랑해),23.4
25,2010.01.04 ~ 2010.01.10,가구시청률,6,MBC,세바퀴,21.5
26,2010.01.04 ~ 2010.01.10,가구시청률,7,MBC,특집다큐(아마존의눈물1부),21.5
27,2010.01.04 ~ 2010.01.10,가구시청률,8,MBC,주말기획드라마(보석비빔밥),21.1
28,2010.01.04 ~ 2010.01.10,가구시청률,9,KBS2,특별기획드라마(추노),21.1
29,2010.01.04 ~ 2010.01.10,가구시청률,10,KBS1,KBS9시뉴스,20.3
30,2010.01.04 ~ 2010.01.10,가구시청률,11,MBC,무한도전,19.5
31,2010.01.04 ~ 2010.01.10,가구시청률,12,MBC,황금어장,18.9
32,2010.01.04 ~ 2010.01.10,가구시청률,13,SBS,특별기획(그대웃어요),17.2
33,2010.01.04 ~ 2010.01.10,가구시청률,14,KBS2,해피투게더,17.2
34,2010.01.04 ~ 2010.01.10,가구시청률,15,KBS2,개그콘서트,16.4
