관리번호,공원명
29170-00001,문화근린공원
29170-00002,두암제1근린공원
29170-00003,첨단체육근린공원
29170-00004,일곡제1근린공원
29170-00005,일곡제2근린공원
29170-00006,일곡제3근린공원
29170-00007,첨단2주거1호근린공원
29170-00008,첨단2산업2호근린공원
29170-00009,첨단2주거3호근린공원
29170-00010,우산근린공원
29170-00011,본촌근린공원
29170-00012,운암제3 근린공원
29170-00013,영산강대상근린공원
29170-00014,운암산 근린공원
29170-00015,태봉어린이공원
29170-00016,미리내어린이공원
29170-00017,운암어린이공원
29170-00018,버들어린이공원
29170-00019,지우어린이공원
29170-00020,신용제1어린이공원
29170-00021,효동어린이공원
29170-00022,효죽어린이공원
29170-00023,용흥어린이공원
29170-00024,꿈동산어린이공원
29170-00025,무등어린이공원
29170-00026,희망어린이공원
29170-00027,우리어린이공원
29170-00028,하백어린이공원
29170-00029,무진어린이공원
29170-00030,부영어린이공원
29170-00031,초롱어린이공원
29170-00032,평교어린이공원
29170-00033,그린어린이공원
29170-00034,둘리어린이공원
29170-00035,새싹어린이공원
29170-00036,어울림어린이공원
29170-00037,반룡어린이공원
29170-00038,봉곡어린이공원
29170-00039,새봄어린이공원
29170-00040,용주어린이공원
29170-00041,고운어린이공원
29170-00042,박들어린이공원
29170-00043,상오치어린이공원
29170-00044,하오치어린이공원
29170-00045,샛터어린이공원
29170-00046,차돌(독)어린이공원
29170-00047,군황어린이공원
29170-00048,송학어린이공원
29170-00049,개나리어린이공원
29170-00050,사랑어린이공원
29170-00051,용봉어린이공원
29170-00052,충효어린이공원
29170-00053,현대어린이공원
29170-00054,삼정어린이공원
29170-00055,장수어린이공원
29170-00056,느티나무어린이공원
29170-00057,늘푸른어린이공원
29170-00058,동심어린이공원
29170-00059,문산어린이공원
29170-00060,바느실어린이공원
29170-00062,소망어린이공원
29170-00063,송정어린이공원
29170-00064,오정어린이공원
29170-00065,장미어린이공원
29170-00066,진달래어린이공원
29170-00067,철쭉어린이공원
29170-00068,동산어린이공원
29170-00069,산동어린이공원
29170-00070,푸른어린이공원
29170-00071,한마음어린이공원
29170-00072,가작어린이공원
29170-00073,당산어린이공원
29170-00074,들샘어린이공원
29170-00075,비둘기어린이공원
29170-00076,삼각어린이공원
29170-00077,서일어린이공원
29170-00078,소소리어린이공원
29170-00079,용수어린이공원
29170-00080,월산어린이공원
29170-00081,일곡어린이공원
29170-00082,일동어린이공원
29170-00083,한새어린이공원
29170-00084,신안북어린이공원
29170-00085,용봉동어린이공원
29170-00086,용봉동부어린이공원
29170-00087,용봉북어린이공원
29170-00088,용봉서부어린이공원
29170-00061,백일홍어린이공원
29170-00089,용봉중앙어린이공원
29170-00090,양산 제1어린이공원
29170-00091,양산 제2어린이공원
29170-00092,양산 제3어린이공원
29170-00093,양산 제4어린이공원
29170-00094,양산 제5어린이공원
29170-00095,양산 제6어린이공원
29170-00096,양산 제7어린이공원
29170-00097,양산 제8어린이공원
29170-00098,신평어린이공원
29170-00099,첨단2주거 1호어린이공원
29170-00100,첨단2주거 2호어린이공원
29170-00101,첨단2주거 3호어린이공원
29170-00102,첨단2산업체육공원
29170-00103,천변공원
29170-00104,일곡근린공원
29170-00105,양지소공원
29170-00106,유림소공원
29170-00107,풍향골어린이공원
29170-00108,신평소공원
31140-00001,울산대공원
31140-00002,울산체육공원
31710-00001,울산하늘공원
48730-00001,괴항공원
48730-00004,사적공원
48730-00007,대치공원
48730-00010,입곡문화공원
48730-00011,서촌공원
45750-00001,1호공원(봉황공원)
45750-00002,1호근린공원
45750-00003,1호사선대공원
45750-00004,2호근린공원
45750-00005,3호근린공원
45750-00006,운암 근린공원
45750-00007,4호원동산어린이공원
45750-00008,5호공원
45750-00009,관촌어린이공원
45750-00010,운암 소공원
41570-00015,사우택지6(김포어린이11)
41570-00180,김포어린이35
41570-00181,김포어린이37
41570-00182,김포어린이41
41570-00018,걸포근린공원(김포3호)
41570-00212,김포어린이46
41570-00205,학운3소공원50
41570-00113,한강주제5
41570-00202,김포어린이42
41570-00035,장기근린2
41570-00004,하성근린공원(태산패밀리파크)
41570-00006,월곶조각공원
41570-00008,사우구획1(김포어린이1)
41570-00009,사우구획2(김포어린이2)
41570-00162,양촌어린이24
41570-00171,애기봉평화공원
41570-00050,양곡택지4
41570-00207,학운3어린이61
41570-00210,김포소공원31
41570-00213,고촌문화공원1
41570-00049,양곡근린3
41570-00052,양곡택지6
41570-00053,마송근린2
41570-00054,마송근린3
41570-00057,장기근린4
41570-00206,학운3어린이60
41570-00083,고촌어린이112
41570-00225,향산지구 제1문화공원
41570-00222,향산지구 제2어린이공원
41570-00114,한강주제6
41570-00116,한강주제3
41570-00195,씨네문화공원1
41570-00199,고촌2관문공원
41135-00065,삼평공원
41135-00068,양지공원
41135-00071,단대공원
41135-00105,영장공원
41135-00108,희망대공원
41135-00062,수진공원
41135-00112,위례 제10호공원
41135-00115,복정공원
41135-00119,복고개공원
41135-00122,기왓골공원
41135-00081,주도산공원
41135-00084,복우물공원
41135-00087,미소공원
41135-00074,한빛
41135-00092,서일로
41135-00095,단대지구1호(하늘빛)공원
41135-00098,위례역사공원공원
41135-00133,대원공원
41135-00138,황송공원
41133-00029,은행공원
41131-00010,자혜공원
41131-00017,사기막골공원
41131-00023,여수지구1호공원
41133-00008,여수지구2호공원
41133-00010,여수지구3호(시청)공원
41133-00014,여수지구4호(여수울)공원
41133-00017,도촌 제1호(섬말)공원
41133-00021,도촌 제2호(독고개)공원
41133-00024,도촌 제3호(이왕이)공원
41133-00025,둔촌공원
41133-00026,도촌동어 1(여울)공원
41133-00027,도촌동어 2(산바람)공원
41133-00028,도촌동어 3(솔바람)공원
41133-00031,도촌동어 4(금잉어)공원
41133-00034,도촌동어 5(약수터)공원
