시설명,박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명,
필암서원 유물전시관,공립,전라남도 장성군 황룡면 필암서원로 187,전라남도 장성군 황룡면 필암리 400-9,35.309853,126.751153,061-390-7224,장성군,http://tour.jangseong.go.kr/home/tour/spectacle/view/view_06/view_06_03,주차장+화장실,09:00,18:00,09:00,18:00,"1월1일, 설날, 추석",500,300,0,"단체(30인) 이상 50 할인, 12세 이하 어린이 및 65세 이상 노인 무료관람","유물전시관은 필암서원과 하서 김인후 관련 유물을 보관하고, 정보를 제공하기 위해 1999년 설립하였으며, 2008년 시설을 증축하여 새롭게 개관하였다. 현재 3,744점의 유물을 소장하고 있으며, 관람객들에게 다양한 볼거리를 제공하고 있다.",농어촌 버스 46 : 장성터미널 탑승 →원필암정류장 하차,061-390-7224,전라남도 장성군청,2018-08-07,4980000,전라남도 장성군,
원주역사박물관,공립,강원도 원주시 봉산로 134,강원도 원주시 봉산동 836-1,37.343743,127.962031,033-737-4371,원주시,http://whm.wonju.go.kr/,뮤지엄샵,09:00,18:00,09:00,18:00,매주 월요일,0,0,0,,"원주시의 대표적인 박물관으로 ,원주의 고대시대부터 일제강점기까지 원주의 역사를 한눈에 살필수 있으며, 역사강좌, 영화상영, 체혐교실 등 다양한 문화프로그램도 운영중이다.","시내버스 5, 5-1, 5-2, 80, 81, 81-1, 82",033-737-4371,강원도 원주시청,2018-05-25,4190000,강원도 원주시,
뮤지엄산미술관,사립,강원도 원주시 지정면 오크밸리2길 260,강원도 원주시 지정면 월송리 산129-5,37.4188689,127.823167,033-730-9000,(재)한솔문화재단,www.museumsan.org,"카페테리아, 아트샵, 수유실",10:30,18:00,10:30,18:00,매주 월요일,15000,10000,10000,"제임스터렐관 13,000원","세계적인 건축가 안도 다다오가 설계한 아름다운 미술관이다. 2015년 한국관광공사가 진행한 <한국인이 꼭 가봐야할 한국관광100선>에 선정되기도 한 곳이다.  근현대 한국을 대표하는 이중섭, 박수근, 백남준 등 여러 주요작가들의 회화 및 판화드로잉 작품을 집중소장하고 있다. (매년 2회의 기획전시 개최)",셔틀버스(시외버스터미널 정류장),033-730-9000,강원도 원주시청,2018-05-25,4190000,강원도 원주시,
오랜미래신화미술관,사립,강원도 원주시 문막읍 취병로 711,강원도 원주시 문막읍 취병리 835,37.3415286,127.7868199,033-746-5256,오랜미래신화미술관,,,10:00,17:00,10:00,17:00,매주 월요일,0,0,0,0,한국 최초의 신화 테마 미술관,,033-746-5256,강원도 원주시청,2018-05-25,4190000,강원도 원주시,
연세대학교 원주박물관,대학,강원도 원주시 흥업면 연세대길 1,강원도 원주시 흥업면 매지리 1875,37.2813415,127.899493,033-760-2731,연세대학교,web.yonsei.ac.kr,"식당, 매점",09:00,16:30,00:00,00:00,"토, 일, 공휴일",0,0,0,,,"시내버스 30, 31, 34",033-760-2731,강원도 원주시청,2018-05-25,4190000,강원도 원주시,
뮤지엄산박물관,사립,강원도 원주시 지정면 오크밸리2길 260,강원도 원주시 지정면 월송리 산129-5,37.2813415,127.8237167,033-730-9000,(재)한솔문화재단,www.museumsan.org,"카페테리아, 아트샵, 수유실",10:30,18:00,10:30,18:00,매주 월요일,15000,10000,10000,,"세계적인 건축가 안도 다다오가 설계한 박물관이다. 국보 제277호인 초조본대방광불 화엄경 주본 권제3과 보물 제1153호인 묘법연화경 권제1~3 등 국가문화재 10점 등 2,000여점의 자료를 소장하고 있다.",셔틀버스(시외버스터미널 정류장),033-730-9000,강원도 원주시청,2018-05-25,4190000,강원도 원주시,
뮤지엄산(청조갤러리),사립,강원도 원주시 지정면 오크밸리 2길 260,강원도 원주시 지정면 월송리 산129-5,37.4154428,127.8237167,033-730-9000,한솔문화재단,http://museumsan.org/,,10:30,18:00,10:30,18:00,매주 월요일 (*월요일이 공휴일인 경우 정상 개관,15000,10000,0,,뮤지엄은 1997년부터 운영되어 오던 종이박물관(페이퍼갤러리)과 2013년 개관한 미술관(청조갤러리)으로 이루어진 종합뮤지엄,,033-730-9000,강원도 원주시청,2018-05-25,4190000,강원도 원주시,
치악산 고판화박물관,사립,강원도 원주시 신림면 물안길 62,강원도 원주시 신림면 황둔리 1706-1,37.2571309,128.1287135,033-761-7885,명주사,www.gopanhwa.com,템플스테이 운영,10:00,19:00,10:00,19:00,매주 월요일,5000,4000,3000,,"한국, 일본, 중국, 몽골 등 고판화 4,000여점을 소장하고 있다. 튿히 강원도 유형문화재 제152호 덕주사판 불설아미타경 등 7점이 강원도 문화재로 지정되어 있다. 운영기관인 명주사에서 템플스테이도 운영 중이다.","시내버스 24, 25",033-761-7885,강원도 원주시청,2018-05-25,4190000,강원도 원주시,
남원향토박물관,국립,전라북도 남원시 양림길 14-9,전라북도 남원시 어현동 37-158,35.401845,127.386952,063-620-5797,남원시청,www.namwon.go.kr/tour,광한루 063-625-4861+남원 춘향테마파크 063-620-5790~4+남원 항공우주천문대 063-620-8985+남원관광안내센터 063-632-1331,09:00,18:00,09:00,18:00,매주 월요일,0,0,0,0,"남원 지역은 예로부터 역사와 전통이 깊은 고장으로 많은 문화유산과 민속자료가 산재해 있다. 오랜 역사를 증거 하는 고대시대의 출토유물, 광한루로 대표되는 수준 높았던 조선시대 양반 문화, 정유재란기 왜적에 대항했던 선열들의 정신과 흔적들이 있다. 또한 남원은 세계적 무형유산인 판소리의 고장이며 『춘향전』, 『흥부전』등 고전 문학의 산실이자 주요 배경지였다. 남원향토박물관은 산재해 있는 남원의 유형 · 무형의 많은 문화유산을 체계적으로 수집·보존·전시·연구하기 위해 설립되었다. 이러한 체계적 수집, 연구, 전시를 통해 인류의 문화 자산을 널리 인류와 함께 향유하며, 안으로는 지역의 정체성을 함양하여 애향심을 기르고, 밖으로는 남원의 문화를 선양하여 문화유산을 온전히 후손들에게 전하고자 한다. * 개관일 2004년 5월 1일","KTX 상행 : 6시14분, 10시52분, 13시46분, 16시27분, 19시59분  하행 :8시12분, 10시40분, 13시06분, 16시51분, 22시17분 (남원에서 용산까지 2시간 35분이 소요 ) 승용차로 오실 때 서울(호남고속도로) → 전주(17번국도) → 남원(4시간 소요) 대구(광주행 88고속도로)→ 남원(2시간소요) 광주(대구행 88고속도로)→ 남원(1시간소요) 부산(남해고속도로) → 진주 → 함양(88고속도로) → 남원(3시간 30분소요) 강릉(영동고속도로) → 신갈 → 대전(호남고속도로) → 전주 → 남원",063-620-5790,남원시 관광시설사업소,2018-08-08,4700000,전라북도 남원시,
청도박물관,공립,경상북도 청도군 이서면 이서로 567,경상북도 청도군 이서면 양원리 129-5,35.694373,128.686471,054-370-2282,청도박물관,http://museum.cd.go.kr,,09:00,18:00,09:00,18:00,매주월요일,0,0,0,,2013년12월14일 개관,청도기차역(도보2분 버스터미널 도착),054-370-2282,경상북도 청도군,2018-04-30,5190000,경상북도 청도군,
